text@dmorozov1970m	@dmorozov1970m	250.23	251.231	#одновременно# зашла
words@amorozov1986m		8.215	8.92	Ммм
words@amorozov1986m		8.92	9.625	//
words@amorozov1986m		12.35	12.592	Ну
words@amorozov1986m		12.592	12.835	/
words@amorozov1986m		12.835	13.078	у
words@amorozov1986m		13.078	13.32	меня
words@amorozov1986m		13.32	13.563	был
words@amorozov1986m		13.563	13.806	один
words@amorozov1986m		13.806	14.049	друг
words@amorozov1986m		14.049	14.291	/
words@amorozov1986m		14.291	14.534	его
words@amorozov1986m		14.534	14.777	звали
words@amorozov1986m		14.777	15.02	Хобот
words@amorozov1986m		15.83	16.111	Я
words@amorozov1986m		16.111	16.393	проводил
words@amorozov1986m		16.393	16.675	время
words@amorozov1986m		16.675	16.956	с
words@amorozov1986m		16.956	17.238	Хоботом
words@amorozov1986m		17.238	17.52	//
words@amorozov1986m		20.498	21.732	Ммм
words@amorozov1986m		24.511	24.779	Играли
words@amorozov1986m		24.779	25.047	в
words@amorozov1986m		25.047	25.315	компьютер
words@amorozov1986m		25.315	25.584	//
words@amorozov1986m		27.527	28.01	Ммм
words@amorozov1986m		28.01	28.493	//
words@amorozov1986m		30.0	30.406	Болели
words@amorozov1986m		30.406	30.812	за
words@amorozov1986m		30.812	31.219	"Зенит"
words@amorozov1986m		33.925	34.136	Ну
words@amorozov1986m		34.136	34.347	так
words@amorozov1986m		34.347	34.559	//
words@amorozov1986m		36.218	36.409	После
words@amorozov1986m		36.409	36.601	того
words@amorozov1986m		36.601	36.792	как
words@amorozov1986m		36.792	36.984	играли
words@amorozov1986m		36.984	37.175	в
words@amorozov1986m		37.175	37.367	компьютер
words@amorozov1986m		37.367	37.559	//
words@amorozov1986m		44.999	45.38	Ну
words@amorozov1986m		45.38	45.761	//
words@amorozov1986m		46.587	46.947	Нет
words@amorozov1986m		46.947	47.308	/
words@amorozov1986m		47.308	47.668	я
words@amorozov1986m		47.668	48.029	сейчас
words@amorozov1986m		48.029	48.389	не
words@amorozov1986m		48.389	48.75	увлекаюсь
words@amorozov1986m		48.75	49.11	//
words@amorozov1986m		49.11	49.471	Я
words@amorozov1986m		49.471	49.831	смотрел
words@amorozov1986m		49.831	50.192	потому
words@amorozov1986m		50.192	50.552	что
words@amorozov1986m		50.552	50.913	Хобот
words@amorozov1986m		50.913	51.274	любил
words@amorozov1986m		61.407	61.817	Да
words@amorozov1986m		61.817	62.227	/
words@amorozov1986m		62.227	62.637	конечно
words@amorozov1986m		62.637	63.047	/
words@amorozov1986m		63.047	63.457	я
words@amorozov1986m		63.457	63.867	начал
words@amorozov1986m		63.867	64.277	делать
words@amorozov1986m		64.277	64.687	группы
words@amorozov1986m		64.687	65.097	с
words@amorozov1986m		65.097	65.507	девятого
words@amorozov1986m		65.507	65.918	класса
words@amorozov1986m		67.604	68.159	Моя
words@amorozov1986m		68.159	68.715	первая
words@amorozov1986m		68.715	69.27	группа
words@amorozov1986m		69.27	69.826	называлась
words@amorozov1986m		69.826	70.382	"Радиоточка"
words@amorozov1986m		71.964	72.47	А
words@amorozov1986m		72.47	72.977	потом
words@amorozov1986m		72.977	73.484	меня
words@amorozov1986m		73.484	73.991	позвали
words@amorozov1986m		73.991	74.498	петь
words@amorozov1986m		74.498	75.005	в
words@amorozov1986m		75.005	75.512	мазафака
words@amorozov1986m		75.512	76.019	группу
words@amorozov1986m		76.019	76.525	/
words@amorozov1986m		76.525	77.032	которая
words@amorozov1986m		77.032	77.539	называлась
words@amorozov1986m		77.539	78.046	"Джа
words@amorozov1986m		78.046	78.553	Радио"
words@amorozov1986m		78.553	79.06	//
words@amorozov1986m		79.06	79.567	Потом
words@amorozov1986m		79.567	80.074	я
